message_shortname,image,english,hindi,Hindi Translations 
1_4_7_dalwater_yes,,Be careful! Dal water does not have any essential nutrients that would help in the growth of your child. Instead give them thick mashed dal that will benefit them so much more!,सावधान रहे! दाल के पानी में कोई आवश्यक पोषक तत्व नहीं होता है जो आपके बच्चे के विकास में मदद करेगा। इसके बजाय उन्हें मोटी दाल को मसलके के दें जो उन्हें अधिक फायदा पहुंचाएगी!,
1_4_7_dalwater_no,,Correct!  Dal water does not have any essential nutrients that would help in the growth of your child. Instead give them thick mashed dal that will benefit them so much more!,बिलकुल सही! दाल के पानी में कोई आवश्यक पोषक तत्व नहीं होता है जो आपके बच्चे के विकास में मदद करेगा। इसके बजाय उन्हें मोटी दाल को मसलके के दें  जो उन्हें इतना अधिक फायदा पहुंचाएगी!,
1_4_7_powderedmilk,,"Should you feed your child Powdered milk?
Type 1 for yes and 2 for no.","""क्या आपको अपने बच्चे को पाउडर दूध पिलाना चाहिए?
हां के लिए 1 और ना के लिए 2 टाइप करे ।""",
1_4_7_powderedmilk_yes,,Be careful! Powdered milk is difficult to digest for your child and will not have the necessary nutrients your breastmilk has. Consult your AWW or a doctor before giving your child powdered milk.,सावधान रहे! पाउडर दूध आपके बच्चे के लिए पचाने में मुश्किल है और  इसमें स्तनपान जैसा पोषक तत्व भी नहीं होंगे। अपने बच्चे को दूध पिलाने से पहले अपने AWW या डॉक्टर से सलाह लें।,
1_4_7_powderedmilk_no,,Correct! Powdered milk is difficult to digest for your child and will not have the necessary nutrients your breastmilk has. Consult your AWW or a doctor before giving your child powdered milk.,बिलकुल सही! पाउडर दूध आपके बच्चे के लिए पचाने में मुश्किल है और  इसमें स्तनपान जैसा पोषक तत्व भी नहीं होंगे। अपने बच्चे को दूध पिलाने से पहले अपने AWW या डॉक्टर से सलाह लें।,
1_4_7_curd,,"Should you feed your child Curd? 
Type 1 for yes and 2 for no.","क्या आपको अपने बच्चे को दही खिलाना चाहिए?
हां के लिए 1 और ना के लिए 2 टाइप करे ।",
1_4_7_curd_yes,,"Correct! Curd is extremely beneficial for your child since it contains calcium, vitamins and protein that will help your child grow healthy!","बिलकुल सही! दही आपके बच्चे के लिए बेहद फायदेमंद है क्योंकि इसमें कैल्शियम, विटामिन और प्रोटीन होता है जो आपके बच्चे को स्वस्थ होने में मदद करेगा!",
1_4_7_curd_no,,"You should start giving them curd! Curd is extremely beneficial for your child since it contains calcium, vitamins and protein that will help your child grow healthy!","आपको उन्हें दही देना शुरू कर देना चाहिए! दही आपके बच्चे के लिए बेहद फायदेमंद है क्योंकि इसमें कैल्शियम, विटामिन और प्रोटीन होता है जो आपके बच्चे को स्वस्थ होने में मदद करेगा!",
1_5_awwmenu,,"Your AWW plays an important role in maintaining and improving the nutrition status of your child. Please type the number of the topic you wish to speak about.  
1) The last time you’re AWW visited you
2) Services received from AWC
3) Periodic growth monitoring 
4) Topic you want to discuss with the AWW
","आपका आंगनवाड़ी कार्यकर्ता आपके बच्चे के पोषण की स्थिति को बनाए रखने और बेहतर बनाने में महत्वपूर्ण भूमिका निभाती है। हम इस बारे में बात कर सकते हैं:
1) आखिरी बार कब आप आंगनवाड़ी कार्यकर्ता आप का दौरा किया
2) आंगनवाड़ी केंद्रे  से प्राप्त सेवाएं
3) आवधिक वृद्धि की निगरानी
4) आप आंगनवाड़ी कार्यकर्ता के साथ किन विषय में चर्चा करना चाहते हैं",
1_5_1_awwservices,,"Some of the services your AWW can provide you with are as follows:
- Nutrition and health education
- Non- Formal Pre School Education (NEPSE)
- Supplementary Nutrition
- Growth monitoring and promotion
- Family welfare services
She also coordinates in arranging immunization camps and health check up camps. Her  functions also include community survey and enlisting beneficiaries, primary health care and first aid, referral services to severely malnourished, sick and at risk children, enlisting community support for Anganwadi functions, organizing women’s groups and Mahila Mandals, school enrolment of children and maintenance of records and registers.
","आपके आंगनवाड़ी कार्यकर्ता द्वारा प्रदान की जा सकने वाली कुछ सेवाएं इस प्रकार हैं:
- पोषण और स्वास्थ्य शिक्षा
- गैर-औपचारिक प्री स्कूल शिक्षा (NEPSE)
- ऊपरी पोषण
- वृद्धि निगरानी और उसमे सुधार करने के तरीके 
- परिवार कल्याण सेवाएं
वह टीकाकरण शिविरों और स्वास्थ्य जांच शिविरों की व्यवस्था करने में भी सहयोग करती है। उनके कार्यों में सामुदायिक सर्वेक्षण और लाभार्थियों को शामिल करना, प्राथमिक स्वास्थ्य देखभाल और प्राथमिक चिकित्सा, गंभीर रूप से कुपोषित, बीमार और जोखिम वाले बच्चों को रेफरल सेवाएं (जांच के लिए भेजना), आंगनवाड़ी कार्यों के लिए सामुदायिक सहायता की व्यवस्था करना, महिलाओं के समूहों और महिला मंडलों का आयोजन, बच्चों का स्कूल में नामांकन कराना और रिकॉर्ड और रजिस्टर का रखरखाव करना शामिल हैं। ",
1_5_2_awwvisit,,"When was the last time the AWW visited you in your home? Please type the number of the option that you want to select.   
1.Yesterday
2.In the last week 
3. In the last month 
4. In the last 3 months
5. Never 
","आखिरी बार कब आंगनवाड़ी कार्यकर्ता ने आपके घर में आपका दौरा किया था?
1. बिता कल
2. पिछले सप्ताह में
3. पिछले महीने में
4. पिछले 3 महीनों में
5. कभी नहीं",
1_5_2_123_time,,"How long did the AWW spend with you in your home? Please type the number of the option that you want to select.   
1)Less than 15 mins
2)15 mins to an hour
3)More than 1 hour
","आपके घर में आंगनवाड़ी कार्यकर्ता ने आपके साथ कितना समय बिताया?
1) 15 मिनट से कम
2) एक घंटे से 15 मिनट के बीच में 
3) 1 घंटे से अधिक",
1_5_2_45_ty,,Thank you for telling me!,मुझे बताने के लिए धन्यवाद!,
1_5_2_123_time_sat,,Were you satisfied with the home-visit you received? Type 1 for Yes and 2 for No. ,क्या आप गृह भेट से संतुष्ट थे? हां के लिए 1 और ना के लिए 2 नंबर दबाएं।,
1_5_2_123_time_sat_yes,,Great! Can you tell me what you liked about the last home-visit you received?,बहुत अच्छा ! क्या आप मुझे बता सकते हैं कि आपको पिछली गृह भेट के बारे में क्या पसंद आया?,
1_5_2_123_time_sat_no,,"Thanks for letting me know! Can you tell me what can be improved about the last home-visit you received?
",मुझे बताने के लिए धन्यवाद! क्या आप मुझे बता सकते हैं कि आपके द्वारा प्राप्त की गई पिछली गृह भेट के बारे में क्या सुधार किया जा सकता है?,
1_5_2_123_time_sat_topic,,"Thank you! Which topic did the AWW chat with you about? Please write the number in front of all topics from below that she discussed with you.
1. Birth preparedness
2. Mother’s diet
3. Breastfeeding
4. Complementary feeding
5. Hygiene & Sanitation
6. Family Planning
7. Other
","धन्यवाद! किस विषय पर आंगनवाड़ी कार्यकर्ता ने आपके साथ बातचीत की? कृपया नीचे से सभी विषयों के सामने वह संख्या लिखें जिसके बारे में उसने आपसे चर्चा की।
1. जन्म की तैयारी
2. माँ का आहार
3. स्तनपान
4. ऊपरी भोजन
5. स्वच्छता और सफाई 
6. परिवार नियोजन
7. अन्य",
1_5_3_awwservicesreceived,,"Let’s talk about the services you have received from your AWW. 
Have you/your child received supplementary nutrition (including THR and cooked meals) from the AWC in the past year? Type 1 for Yes and 2 for No. ","चलिए आपकी आंगनवाड़ी कार्यकर्त्ता से प्राप्त सेवाओं के बारे में बात करें।क्या आपके बच्चे को पिछले वर्ष में आंगनवाड़ी केंद्र से ऊपरी पोषण (THR और पका हुआ भोजन सहित) प्राप्त हुआ है?
1) हाँ
2) नहीं",
1_5_3_sn_n,,Thank you for telling!,बताने के लिए धंयवाद!,
1_5_3_sn_sat,,"Were you satisfied with the services you received for supplementary nutrition? Type 1 for Yes and 2 for No. 
","क्या आप ऊपरी पोषण के लिए प्राप्त सेवाओं से संतुष्ट हैं?
1) हाँ
2) नहीं",
1_5_3_sn_sat_y,,"Great! Can you tell us what you liked about the services you received?
",बहुत अच्छा! क्या आप हमें बता सकते हैं कि आपको प्राप्त सेवाओं के बारे में क्या पसंद आया?,
1_5_3_sn_sat_n,,"Okay! Can you tell us what can be improved about the services that you received?
","ठीक है! क्या आप हमें बता सकते हैं कि आपके द्वारा प्राप्त सेवाओं के बारे में क्या सुधार किया जा सकता है?
",
1_5_3_imm,,Have you/your child received immunization services from the AWC in the past year? Type 1 for Yes and 2 for No. ,"क्या आपके बच्चे को  पिछले एक साल में आंगनवाड़ी केंद्र से टीकाकरण सेवाएं प्राप्त हुई  हैं?
1) हाँ
2) नहीं",
1_5_3_imm_n,,Thank you for telling!,बताने के लिए धंयवाद!,
1_5_3_imm_sat,,Were you satisfied with the services you received for immunization? Type 1 for Yes and 2 for No. ,"क्या आप  टीकाकरण  के लिए प्राप्त सेवाओं से संतुष्ट हैं?
1) हाँ
2) नहीं",
1_5_3_imm_sat_y,,"Great! Can you tell us what you liked about the services you received?
",बहुत अच्छा! क्या आप हमें बता सकते हैं कि आपको प्राप्त सेवाओं के बारे में क्या पसंद आया?,
1_5_3_imm_sat_n,,"Okay! Can you tell us what can be improved about the services that you received?
","ठीक है! क्या आप हमें बता सकते हैं कि आपके द्वारा प्राप्त सेवाओं के बारे में क्या सुधार किया जा सकता है?
",
1_5_3_pedu,,Have you/your child received pre-school education services from the AWC in the past year? Type 1 for Yes and 2 for No. ,"क्या आपको / आपके बच्चे को  पिछले एक साल में आंगनवाड़ी केंद्र से स्कूल जाने से पूर्व सिक्षा की सेवाएं प्राप्त हुई हैं?
1) हाँ
2) नहीं",
1_5_3_pedu_n,,Thank you for telling!,बताने के लिए धंयवाद!,
1_5_3_pedu_sat,,"Were you satisfied with the services you received for pre-school education?
Type 1 for Yes and 2 for No. ","क्या आप  स्कूल जाने से पूर्व सिक्षा  के लिए प्राप्त सेवाओं से संतुष्ट हैं?
1) हाँ
2) नहीं",
1_5_3_pedu_sat_y,,"Great! Can you tell us what you liked about the services you received?
",बहुत अच्छा! क्या आप हमें बता सकते हैं कि आपको प्राप्त सेवाओं के बारे में क्या पसंद आया?,
1_5_3_pedu_sat_n,,"Okay! Can you tell us what can be improved about the services that you received?
","ठीक है! क्या आप हमें बता सकते हैं कि आपके द्वारा प्राप्त सेवाओं के बारे में क्या सुधार किया जा सकता है?
",
1_5_3_ref,,"Have you/your child received referral services from the AWC in the past year?
Type 1 for Yes and 2 for No. ","क्या  आपके बच्चे को पिछले वर्ष में आंगनवाड़ी केंद्र से रेफरल सेवाएं प्राप्त हुई हैं?
1) हाँ
2) नहीं ",
1_5_3_ref_n,,Thank you for telling!,बताने के लिए धंयवाद!,
1_5_3_ref_sat,,"Were you satisfied with the services you received for referral?
Type 1 for Yes and 2 for No. 
","क्या आप रेफरल के लिए प्राप्त सेवाओं से संतुष्ट हैं?
1) हाँ
2) नहीं",
1_5_3_ref_sat_y,,"Great! Can you tell us what you liked about the services you received?
",बहुत अच्छा! क्या आप हमें बता सकते हैं कि आपको प्राप्त सेवाओं के बारे में क्या पसंद आया?,
1_5_3_ref_sat_n,,"Okay! Can you tell us what can be improved about the services that you received?
","ठीक है! क्या आप हमें बता सकते हैं कि आपके द्वारा प्राप्त सेवाओं के बारे में क्या सुधार किया जा सकता है?
",
1_5_3_nhedu,,Have you/your child received nutrition and health education services from the AWC in the past year? Type 1 for Yes and 2 for No. ,"क्या  आपके बच्चे को  पिछले वर्ष में आंगनवाड़ी केंद्र से पोषण और स्वास्थ्य शिक्षा सेवाएं प्राप्त हुई हैं?
1) हाँ
2) नहीं",
1_5_3_nhedu_n,,Thank you for telling!,बताने के लिए धंयवाद!,
1_5_3_nhedu_sat,,"Were you satisfied with the services you received for nutrition and health education?
Type 1 for Yes and 2 for No. ","क्या आप पोषण और स्वास्थ्य शिक्षा के लिए प्राप्त सेवाओं से संतुष्ट थे?
1) हाँ
2) नहीं ",
1_5_3_nhedu_sat_y,,"Great! Can you tell us what you liked about the services you received?
",बहुत अच्छा! क्या आप हमें बता सकते हैं कि आपको प्राप्त सेवाओं के बारे में क्या पसंद आया?,
1_5_3_nhedu_sat_n,,"Okay! Can you tell us what can be improved about the services that you received?
","ठीक है! क्या आप हमें बता सकते हैं कि आपके द्वारा प्राप्त सेवाओं के बारे में क्या सुधार किया जा सकता है?
",
1_5_3_ty,,Thank you for answering these questions related to AWC service delivery!,आंगनवाड़ी केंद्र सेवा वितरण से जुड़े इन सवालों के जवाब देने के लिए धन्यवाद!,
1_5_4_pgm,,"When was the last time that [child name]’s height was recorded? Type the number of the opion that you want to select.
1) Beginning of this month
2) Last month
3) Can’t remember
","आखिरी बार कब [बच्चे का नाम] की लम्बाई दर्ज की गई थी?
1) इस महीने की शुरुआत में 
2) पिछले महीने
3) याद नहीं कर सकते",
1_5_4_12_h,,"That’s great! Periodic measurement of height and weight is extremely important to monitor the growth of your child and to detect danger signs if any. You must take your child to get measured every month for the same. If you need any help in knowing when your AWW worker weighs children in your area I can help you provide information on the same.
","बोहोत बढ़िया! आपको अपने बच्चे के विकास की निगरानी करने में, और यदि कोई खतरे के संकेत हो तो उनका पता लगाने के लिए ऊंचाई और वजन का नियमित रूप से माप करना बेहद महत्वपूर्ण है। आपको अपने बच्चे को हर महीने इसके लिए मापने के लिए ले जाना चाहिए। यदि आपको यह जानने में किसी भी मदद की आवश्यकता है कि आपकी आंगनवाड़ी कार्यकर्ता आपके क्षेत्र में बच्चों का वजन कब करती है तो मैं आपको उसके बारे में जानकारी प्रदान करने में मदद कर सकती हूं।",
1_5_4_3_h,," It’s okay! But remember that periodic measurement of height and weight is extremely important to monitor the growth of your child and to detect danger signs if any. You must take your child to get measured every month for the same. If you need any help in knowing when your AWW worker weighs children in your area I can help you provide information on the same.
","अच्छा। पर ध्यान रखें की आपको अपने बच्चे के विकास की निगरानी करने में, और यदि कोई खतरे के संकेत हो तो उनका पता लगाने के लिए ऊंचाई और वजन का नियमित रूप से माप करना बेहद महत्वपूर्ण है। आपको अपने बच्चे को हर महीने इसके लिए मापने के लिए ले जाना चाहिए। यदि आपको यह जानने में किसी भी मदद की आवश्यकता है कि आपकी आंगनवाड़ी कार्यकर्ता आपके क्षेत्र में बच्चों का वजन कब करती है तो मैं आपको उसके बारे में जानकारी प्रदान करने में मदद कर सकती हूं।",
1_5_4_pgm_w,,"   When was the last time that [child’s name]’s weight was recorded?Type the number of the opion that you want to select.
   1.   Beginning of this month
   2.   Last month
   3.  Can’t remember
","पिछली बार कब [बच्चे का नाम] का वजन दर्ज किया गया था?
    1. इस महीने की शुरुआत में 
    2. पिछले महीने
    3. याद नहीं कर सकते",
1_5_4_12_w,,"That’s great! Periodic measurement of height and weight is extremely important to monitor the growth of your child and to detect danger signs if any. You must take your child to get measured every month for the same. If you need any help in knowing when your AWW worker weighs children in your area I can help you provide information on the same.
","बोहोत बढ़िया! आपको अपने बच्चे के विकास की निगरानी करने में, और यदि कोई खतरे के संकेत हो तो उनका पता लगाने के लिए ऊंचाई और वजन का नियमित रूप से माप करना बेहद महत्वपूर्ण है। आपको अपने बच्चे को हर महीने इसके लिए मापने के लिए ले जाना चाहिए। यदि आपको यह जानने में किसी भी मदद की आवश्यकता है कि आपकी आंगनवाड़ी कार्यकर्ता आपके क्षेत्र में बच्चों का वजन कब करती है तो मैं आपको उसके बारे में जानकारी प्रदान करने में मदद कर सकती हूं।",
1_5_4_3_w,," It’s okay! But remember that periodic measurement of height and weight is extremely important to monitor the growth of your child and to detect danger signs if any. You must take your child to get measured every month for the same. If you need any help in knowing when your AWW worker weighs children in your area I can help you provide information on the same.
","अच्छा। पर ध्यान रखें की आपको अपने बच्चे के विकास की निगरानी करने में, और यदि कोई खतरे के संकेत हो तो उनका पता लगाने के लिए ऊंचाई और वजन का नियमित रूप से माप करना बेहद महत्वपूर्ण है। आपको अपने बच्चे को हर महीने इसके लिए मापने के लिए ले जाना चाहिए। यदि आपको यह जानने में किसी भी मदद की आवश्यकता है कि आपकी आंगनवाड़ी कार्यकर्ता आपके क्षेत्र में बच्चों का वजन कब करती है तो मैं आपको उसके बारे में जानकारी प्रदान करने में मदद कर सकती हूं।",
1_5_5_info,,"The next time that the AWW comes to your home, what would you like to discuss with her? Type the number of the option that you want to select.
1) Birth preparedness
2) Mother’s diet
3) Breastfeeding
4) Complementary feeding
5) Hygiene & Sanitation
6) Family Planning
7) Other
","अगली बार जब आंगनवाड़ी कार्यकर्ता आपके घर आएगा, तो आप उसके साथ क्या चर्चा करना चाहेंगे? उस विकल्प की संख्या टाइप करें/लिखें  जिसे आप चुनना चाहते हैं।
1) बच्चे के जन्म की तैयारी
2) गर्भवती और धात्री माँ का आहार
3) स्तनपान
4) ऊपरी या ऊपरी आहार
5) स्वच्छता और साफ़ सफाई 
6) परिवार नियोजन
7) कोई और अन्य विषय ",
1_5_5_123456,,Thank you for letting me know! ,मुझे जानकारी देने के लिए धन्यवाद!,
1_5_5_7_other,,Please specify,कृपया निर्दिष्ट करें/इस बारे में और बताएं ,
1_5_5_7_other,,Thank you for letting me know! ,मुझे जानकारी देने के लिए धन्यवाद!,
1_6_san,,"Sanitation and hygiene is an important area that drastically affects a child’s growth. Here's a list of things I can provide information on. Please enter the number of the topic you want information on:
1) Importance of maintaining good hygiene and sanitation
2) How poor sanitation can make [child name] sick?
3) What is diarrhea
4) Main causes of diarrhea
5) Care needed for the child when they have diarrhea
6) Teething and associated diarrhea
7) Disposal of child feces
8) Washing hands
9) Usage and cleaning of baby bottles and toys
10) Q/A on sanitation and hygiene 
","स्वच्छता और साफ़-सफाई एक महत्वपूर्ण क्षेत्र है जो बच्चे के विकास को काफी प्रभावित करता है। यहां उन चीजों की एक सूची दी गई है जिन पर मैं जानकारी प्रदान कर सकती हूं। कृपया उस विषय की संख्या दर्ज करें जिस पर आप जानकारी चाहते हैं:
1) अच्छी स्वच्छता और साफ़ सफाई बनाए रखने का महत्व
2) स्वच्छता और साफ़ सफाई की ख़राब व्यवस्था आपके बच्चे को कैसे बीमार कर सकती हैं 
3) दस्त क्या है
4) दस्त के मुख्य कारण
5) दस्त लगने पर बच्चे की देखभाल करना
6) शुरुवाती दांत निकलना और उसके साथ होने वाले दस्त 
7) बच्चे के मल का निपटान कैसे करें 
8) हाथ धोने का महत्त्व और तकनीक 
9) बच्चे की बोतलों और खिलौनों का उपयोग और सफाई
10) स्वच्छता और साफ़ सफाई पर प्रश्न उत्तर जो आपको जानकारी देंगे ",
1_6_1_imp,,"Children are more likely to attract flies, who cause a lot of diseases, when they are left with poor hygienic conditions, for instance, babies with runny nose or suffering from diarrhea. Moreover, babies inactive at the time of sleep or due to sickness also attract flies.Which is why when we talked previously, we emphasized on the importance of the baby being active. It is also very important that you do not practice open defecation nor do you teach your child to do so since the same is a cause of several diseases and other dangers. ","बच्चों को मक्खियों को आकर्षित करने की अधिक संभावना होती है, जो बहुत सारी बीमारियों का कारण बनते हैं, जब वे खराब स्वास्थ्यकर स्थितियों से बचे होते हैं, उदाहरण के लिए, बहती नाक वाले बच्चे या दस्त से पीड़ित। इसके अलावा, बच्चे नींद के समय या बीमारी के कारण निष्क्रिय हो जाते हैं, वे भी मक्खियों को आकर्षित करते हैं। यही वजह है कि जब हमने पहले बात की, तो हमने बच्चे के सक्रिय होने के महत्व पर जोर दिया। यह भी बहुत महत्वपूर्ण है कि आप खुले में शौच का अभ्यास न करें और न ही आप अपने बच्चे को ऐसा करना सिखाएं क्योंकि यह कई बीमारियों और अन्य खतरों का कारण है।",
1_6_2_sick,,"Unsafe and insufficient water supply and inadequate sanitation can compromise with the nutritional status of the child. People suffering from diarrhoea will not benefit fully from food because frequent stools prevents adequate absorption of nutrients. This can lead to malnutrition. \n

Malnutrition affects all age groups, but it is especially common among those with inadequate access to health education and to clean water and good sanitation. Which is why it is extremely important that you take care of the sanitation and hygiene of not just [child name] but the entire family. ","असुरक्षित और अपर्याप्त पानी की की स्थिति और अपर्याप्त या ख़राब स्वच्छता बच्चे की पोषण स्थिति के साथ समझौता कर सकती है। दस्त से पीड़ित बच्चों को पौष्टिक भोजन देने पर भी उसका लाभ नहीं मिलता है क्यूंकि लगातार शौच होने पर शरीर पोषक तत्वों को सोक नहीं पाता है। इससे कुपोषण हो सकता है।
 
कुपोषण सभी आयु समूहों को प्रभावित करता है, लेकिन यह उन् जगहों में ज़्यादा पाया जाता है जहाँ स्वास्थ्य शिक्षा की अपर्याप्त पहुंच हो और स्वच्छ जल और अच्छी स्वच्छता उपलब्ध नहीं हो। यही कारण है कि यह अत्यंत महत्वपूर्ण है कि आप न केवल [बच्चे का नाम] बल्कि पूरे परिवार की स्वच्छता और साफ़ सफाई का ध्यान रखें।",
1_6_3_diadef,,You child [child name] migh have diarrhea if they get 3 or more watery stools in a day.,अगर [बच्चे का नाम] को एक दिन में 3 या उससे अधिक पानी के मल/अत्यधिक गीला मल हो तो उसे दस्त हो सकता है।,
1_6_4_diacause,,Diarrhea can be a sign of poor sanitation and hygiene 💧. You can take steps to prevent [child name] from getting diarrhea in the future by maintaining good sanitation and hygiene practices in your home. ,दस्त खराब स्वच्छता और साफ़ सफाई का संकेत हो सकता है 💧। आप अपने घर में अच्छी स्वच्छता और साफ़ सफाई की प्रथाओं को बनाए रखने से भविष्य में बच्चे को दस्त होने से रोकने के लिए कदम उठा सकते हैं।,
1_6_5_diacare,,"Since diarrhea causes a loss of a lot of nutrients from the body of the child, it is important therefore that the same is replenished and compensated for. If the child has diarrhoea you should give them ORS and breastfeed the child more than usual to maintain their strength. ORS is available at any medical store and also with your AWW. Given the child is now above 6 months of age you should try and feed them as many liquid products as possible to make up for the lost water!","चूंकि दस्त से बच्चे के शरीर में से बोहोत से पोषण तत्व निकल जाते हैं, इसलिए यह महत्वपूर्ण है कि उसकी भरपाई की जाए और स्थिति में सुधार किया जाए। यदि बच्चे को दस्त हैं, तो आपको उनकी ताकत बनाए रखने के लिए उन्हें ओ.आर.एस/ORS देना चाहिए और बच्चे को सामान्य से अधिक स्तनपान कराना चाहिए। ओ.आर.एस/ORS किसी भी मेडिकल स्टोर पर और आपके आंगनवाड़ी कार्यकर्ता के पास भी उपलब्ध है। क्यूंकि बच्चा 6 महीने से कम का है इसलिए ओ.आर.एस/ORS के आलावा जब तक एक डॉक्टर द्वारा नहीं बताया जाता है, आपको उन्हें कुछ और नहीं देना चाहिए, यहां तक ​​कि पानी भी नहीं!",
1_6_6_teething,,"Diarrhea and teething are indirectly connected and needs to be paid attention to when it happens. The constant irritation in the gums causes the babies to reach out for different objects, which are then held in the mouth and chewed. These objects may not necessarily be clean and could have germs and other microbes on them. Since babies tend to put everything they can find in their mouth, the chances of bacteria entering the body are extremely high, and hence they may get diarrhoea.
If the diarrhoea manifests primarily when the teething behaviour sets in for the child, the symptoms should usually go away in a few days once the right precautions are taken. However, if the problem continues for around a week or more and tends to repeat every month it is advisable that you take your child to a doctor. Also, make sure to constantly feed the child, more often than usual, and also give ORS since diarrhea causes a loss of nutrients from the body and the same needs to be replenished. ","काफी बार ये देखा जाता है की शुरुवाती दांत आने पर बच्चों को दस्त होते हैं और ऐसी स्तिथि में ध्यान देना आवश्यक है। दांत निकलने के दौरान बच्चों के मसूड़ों सूजन के कारण उसमे काफी जलन एवं दर्द होता है जिसके कारन वो चीज़ें ढूढ़ते हैं जिसको वो अपने मुँह में रख सकें और आराम पहुँचाने के लिए चबा सकें। ये वस्तुएं आम तौर पर साफ नहीं होती हैं और उन पर कीटाणु और अन्य रोगाणु हो सकते हैं। चूँकि बच्चे जो भी चीज़ उन्हें मिलती है उसको अपने मुंह में डालते हैं, इसलिए इन रोगाणु और बैक्टीरिया के शरीर में प्रवेश करने की संभावना बहुत अधिक होती है, और इसलिए उन्हें दस्त हो सकते हैं।
यदि दस्त बच्चे के शुरुवाती दांत आने पर होने शुरू हुए हैं, तो सही सावधानियां बरतने पर लक्षण आमतौर पर कुछ दिनों में दूर हो जाते हैं। परन्तु, यदि समस्या लगभग एक सप्ताह या उससे अधिक समय तक बनी रहती है और हर महीने दोहराई जाती है, तो यह उचित है कि आप अपने बच्चे को डॉक्टर के पास ले जाएँ। इसके अलावा, सुनिश्चित करें कि बच्चे को लगातार, सामान्य से अधिक बार दूध पिलाएं, और ओआरएस भी दें क्योंकि दस्त से शरीर को पोषक तत्वों की हानि होती है और उसी को फिर से भरने की आवश्यकता होती है। उनके खाने में ज़्यादा से ज़्यादा तरल पदार्थों को शामिल करें।",
1_6_7_feces,,"An important component of maintaining sanitation and hygiene is the safe disposal of child feces since the same could be a breeding ground for flies, scavengers etc. While crawling or playing, children may put contaminated fingers, pica or fomites into their mouth. The safest way is to dispose the fecal matter in a toilet/latrine. All other methods are considered unsafe.  Problems associated with open defecation include serious respiratory issues, stomach illness (Typhoid and Jaundice), and malaria apart from diarrhea. ","स्वच्छता और साफ़-सफाई को बनाए रखने का एक महत्वपूर्ण अंग बाल मल का सुरक्षित निपटान है क्योंकि वो मक्खियों, मेहतरों जैसे खतरनाक जीवों आदि के लिए एक प्रजनन भूमि हो सकती है। ज़मीन पर रेंगते या खेलते समय बच्चे दूषित उंगलियों, पिका या फोमाइट्स (हानिकारक जीव) को अपने मुंह में डाल सकते हैं जो उनके मल द्वारा वातावरण में आते हैं और फैलते हैं। इसलिए उनके मल को निबटाने का सबसे सुरक्षित तरीका एक शौचालय / शौचालय में उसको डालने का है। अन्य सभी तरीकों को असुरक्षित माना जाता है। खुले में शौच से जुड़ी समस्याओं में गंभीर सांस लेने संबंधी समस्याएं, पेट की बीमारी (टाइफाइड और पीलिया), और दस्त के अलावा मलेरिया शामिल हैं।",
1_6_8_handwashing,,"Hands should be washed on a regular basis, especially after using the washroom/changing the baby's diaper and before breastfeeding the child. Also, breasts should be wiped before breastfeeding the child. Using soap is a simple way to prevent the spread of infection and to keep you and your baby healthy 👶🏽. Keep the soap next to all water sources in your house to make it easier to wash your hands with soap every time. You should wash your hands for at least 20 seconds as advised by experts and dry them soon after because germs and bacteria spread easily in wet hands. ","नियमित रूप से हाथ धोएं, खासकर शौच के बाद/बच्चे के डायपर बदलने के बाद और बच्चे को स्तनपान कराने से पहले। बच्चे को स्तनपान कराने से पहले स्तनों को अच्छे से साफ़ करें। इंफेक्शन को फैलने से रोकने और आपके व आपके बच्चे के स्वास्थ्य की सुरक्षा के लिए साबुन से हाथ धोना सबसे आसान उपाय है। आप अपने घर में पानी वाली सभी जगहों के आस पास  साबुन की एक टिकिया रखनी चाहिए ताकि हर बार साबुन से हाथ धोना आसान हो सके। विशेषज्ञों द्वारा सलाह के अनुसार आपको कम से कम 20 सेकंड के लिए अपने हाथों को धोना चाहिए और उन्हें जल्द ही सूखा लेना चाहिए क्योंकि गीले हाथों में रोगाणु और बैक्टीरिया ज़्यादा आसानी से फैलते हैं।",
1_6_9_toys,,"Did you know that using a baby bottle to feed your child can actually make them sick? 🍼 Bottles are difficult to clean thoroughly, so germs can unintentionally be transferred to your child. It is recommended by many experts to stop all bottle feeding and switching to exclusive breastfeeding to avoid unintended sickness for your baby 🤱🏽. 
While babies are young, they often put things in their mouths while they are playing 👶🏽. It's important to keep these objects clean and sanitized so they don't transfer germs to the baby while playing. ","क्या आप जानते हैं कि अपने बच्चे को खिलाने के लिए दूध वाली बोतल का उपयोग करना वास्तव में उन्हें बीमार बना सकता है? बोतलों को अच्छी तरह से साफ करना मुश्किल है, इसलिए कीटाणुओं को अनजाने में आपके बच्चे में स्थानांतरित किया/भेजा जा सकता है। कई विशेषज्ञों द्वारा यह कहा जाता है  की आपके बच्चे को अनजाने में होने वाली बिमारियों से बचने के लिए सभी प्रकार की बोतल से फीडिंग करना और दूध पिलाना बंध करके केवल विशेष स्तनपान कराना चाहिए।
जब बच्चे छोटे होते हैं, तो वे खेलते समय अक्सर चीजों को अपने मुंह में डाल लेते हैं। इन वस्तुओं को साफ और स्वच्छ रखना महत्वपूर्ण है, ताकि वे खेलते समय बच्चे में बीमारी पैदा करने वाले जीव ना दाल दें।",
